!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
りばぷーる	リバプール	固有一般	Town型軽巡洋艦 C11
まんちぇすたー	Manchester	固有一般	Town型軽巡洋艦 C15
まんちぇすたー	マンチェスター	固有一般	Town型軽巡洋艦 C15
ぐろすたー	Gloucester	固有一般	Town型軽巡洋艦 C62
ぐろすたー	グロスター	固有一般	Town型軽巡洋艦 C62
べるふぁすと	Belfast	固有一般	Town型軽巡洋艦 C35
べるふぁすと	ベルファスト	固有一般	Town型軽巡洋艦 C35
えじんばら	Edinburgh	固有一般	Town型軽巡洋艦 C16
えじんばら	エジンバラ	固有一般	Town型軽巡洋艦 C16
のーすかろらいな	North Carolina	固有一般	North Carolina型戦艦 2番艦 BB-55
のーすかろらいな	ノースカロライナ	固有一般	North Carolina型戦艦 2番艦 BB-55
わしんとん	Washington	固有一般	North Carolina型戦艦 2番艦 BB-56
